No.	Time	Source	Destination	Protocol	Length	Info
138	4.224543	144.38.27.12	239.255.255.250	SSDP	215	M-SEARCH * HTTP/1.1 
139	4.256175	144.38.27.22	144.38.27.255	UDP	305	54915 > 54915 Len=263
140	4.306417	144.38.27.42	224.0.0.251	MDNS	272	"Standard query response 0x0000 SRV, cache flush 0 0 8770 code-03.local TXT, cache flush PTR _airdrop._tcp.local PTR 4bf3fb8f2a73._airdrop._tcp.local AAAA, cache flush fe80::3ac9:86ff:fe16:4cd1 A, cache flush 144.38.27.42 NSEC, cache flush code-03.local NSEC, cache flush 4bf3fb8f2a73._airdrop._tcp.local"
141	4.306418	fe80::3ac9:86ff:fe16:4cd1	ff02::fb	MDNS	292	"Standard query response 0x0000 SRV, cache flush 0 0 8770 code-03.local TXT, cache flush PTR _airdrop._tcp.local PTR 4bf3fb8f2a73._airdrop._tcp.local AAAA, cache flush fe80::3ac9:86ff:fe16:4cd1 A, cache flush 144.38.27.42 NSEC, cache flush code-03.local NSEC, cache flush 4bf3fb8f2a73._airdrop._tcp.local"
142	4.547705	144.38.26.47	172.217.4.142	SSL	55	Continuation Data
143	4.568553	172.217.4.142	144.38.26.47	TCP	66	443 > 51089 [ACK] Seq=1 Ack=2 Win=606 Len=0 SLE=1 SRE=2
144	4.606228	144.38.26.47	209.222.29.34	UDP	50	56887 > 50715 Len=8
145	4.641939	144.38.27.40	144.38.27.255	BJNP	60	Scanner Command: Discover
146	4.641941	144.38.27.40	224.0.0.1	BJNP	60	Scanner Command: Discover
147	4.651464	209.222.29.34	144.38.26.47	UDP	60	50715 > 56887 Len=8
148	4.804081	144.38.27.55	144.38.27.255	UDP	305	54915 > 54915 Len=263
149	4.804082	144.38.26.38	239.255.255.250	SSDP	216	M-SEARCH * HTTP/1.1 
150	4.809373	144.38.26.50	224.0.0.251	MDNS	274	"Standard query response 0x0000 SRV, cache flush 0 0 8770 coding-12.local TXT, cache flush PTR _airdrop._tcp.local PTR 50b589de448d._airdrop._tcp.local AAAA, cache flush fe80::3ac9:86ff:fe2b:ffcb A, cache flush 144.38.26.50 NSEC, cache flush coding-12.local NSEC, cache flush 50b589de448d._airdrop._tcp.local"
151	4.809375	fe80::3ac9:86ff:fe2b:ffcb	ff02::fb	MDNS	294	"Standard query response 0x0000 SRV, cache flush 0 0 8770 coding-12.local TXT, cache flush PTR _airdrop._tcp.local PTR 50b589de448d._airdrop._tcp.local AAAA, cache flush fe80::3ac9:86ff:fe2b:ffcb A, cache flush 144.38.26.50 NSEC, cache flush coding-12.local NSEC, cache flush 50b589de448d._airdrop._tcp.local"
152	4.858241	144.38.27.42	144.38.27.255	BJNP	60	Scanner Command: Discover
153	4.858242	144.38.27.42	224.0.0.1	BJNP	60	Printer Command: Unknown code (2)
154	4.937836	144.38.26.57	239.255.255.250	SSDP	216	M-SEARCH * HTTP/1.1 
155	4.997367	144.38.26.47	81.171.5.50	TLSv1.2	684	Application Data
156	5.134686	CiscoInc_e8:aa:a2	Spanning-tree-(for-bridges)_00	STP	60	Conf. Root = 32768/1069/00:08:2f:36:6e:80  Cost = 3027  Port = 0x8022
157	5.138177	81.171.5.50	144.38.26.47	TLSv1.2	312	Application Data
158	5.188983	144.38.26.47	81.171.5.50	TCP	54	51002 > 443 [ACK] Seq=1261 Ack=517 Win=256 Len=0
159	5.226679	144.38.27.12	239.255.255.250	SSDP	215	M-SEARCH * HTTP/1.1 
160	5.262175	144.38.27.22	144.38.27.255	UDP	305	54915 > 54915 Len=263
161	5.356232	144.38.26.43	224.0.0.251	MDNS	286	"Standard query response 0x0000 SRV, cache flush 0 0 8770 Likekes-MacBook-Pro-3.local TXT, cache flush PTR _airdrop._tcp.local PTR 107d9174a4a7._airdrop._tcp.local AAAA, cache flush fe80::e4d:e9ff:fed0:add1 A, cache flush 144.38.26.43 NSEC, cache flush Likekes-MacBook-Pro-3.local NSEC, cache flush 107d9174a4a7._airdrop._tcp.local"
162	5.356233	fe80::e4d:e9ff:fed0:add1	ff02::fb	MDNS	306	"Standard query response 0x0000 SRV, cache flush 0 0 8770 Likekes-MacBook-Pro-3.local TXT, cache flush PTR _airdrop._tcp.local PTR 107d9174a4a7._airdrop._tcp.local AAAA, cache flush fe80::e4d:e9ff:fed0:add1 A, cache flush 144.38.26.43 NSEC, cache flush Likekes-MacBook-Pro-3.local NSEC, cache flush 107d9174a4a7._airdrop._tcp.local"
163	5.439764	144.38.27.42	224.0.0.251	MDNS	272	"Standard query response 0x0000 SRV, cache flush 0 0 8770 code-03.local TXT, cache flush PTR _airdrop._tcp.local PTR 4bf3fb8f2a73._airdrop._tcp.local AAAA, cache flush fe80::3ac9:86ff:fe16:4cd1 A, cache flush 144.38.27.42 NSEC, cache flush code-03.local NSEC, cache flush 4bf3fb8f2a73._airdrop._tcp.local"
164	5.439766	fe80::3ac9:86ff:fe16:4cd1	ff02::fb	MDNS	292	"Standard query response 0x0000 SRV, cache flush 0 0 8770 code-03.local TXT, cache flush PTR _airdrop._tcp.local PTR 4bf3fb8f2a73._airdrop._tcp.local AAAA, cache flush fe80::3ac9:86ff:fe16:4cd1 A, cache flush 144.38.27.42 NSEC, cache flush code-03.local NSEC, cache flush 4bf3fb8f2a73._airdrop._tcp.local"
165	5.581037	144.38.27.21	255.255.255.255	DB-LSP-DISC	186	Dropbox LAN sync Discovery Protocol
